trial_number,strategy,tube_state,action,spout_state,feedback,profit,total_reward,total_timeouts,total_null
1,Random,NOGO,Wait,OFF,Null,0,0,0,1
2,Random,GO,Wait,ON,Null,0,0,0,2
3,Random,NOGO,Lick,OFF,Timeout,-1,0,1,2
4,Random,NOGO,Wait,OFF,Null,-1,0,1,3
5,Random,NOGO,Lick,OFF,Timeout,-2,0,2,3
6,Random,NOGO,Lick,OFF,Timeout,-3,0,3,3
7,Random,NOGO,Wait,OFF,Null,-3,0,3,4
8,Random,NOGO,Lick,OFF,Timeout,-4,0,4,4
9,Random,NOGO,Wait,OFF,Null,-4,0,4,5
10,Random,NOGO,Lick,OFF,Timeout,-5,0,5,5
11,Random,GO,Wait,ON,Null,-5,0,5,6
12,Random,GO,Wait,ON,Null,-5,0,5,7
13,Random,CHECK,Lick,OFF,Null,-5,0,5,8
14,Random,NOGO,Lick,OFF,Timeout,-6,0,6,8
15,Random,NOGO,Lick,OFF,Timeout,-7,0,7,8
16,Random,GO,Lick,ON,Reward,-6,1,7,8
17,Random,NOGO,Wait,OFF,Null,-6,1,7,9
18,Random,GO,Lick,ON,Reward,-5,2,7,9
19,Random,GO,Wait,ON,Null,-5,2,7,10
20,Random,NOGO,Lick,OFF,Timeout,-6,2,8,10
21,Random,NOGO,Wait,OFF,Null,-6,2,8,11
22,Random,NOGO,Wait,OFF,Null,-6,2,8,12
23,Random,CHECK,Wait,OFF,Null,-6,2,8,13
24,Random,CHECK,Lick,OFF,Null,-6,2,8,14
25,Random,CHECK,Wait,OFF,Null,-6,2,8,15
26,Random,CHECK,Wait,OFF,Null,-6,2,8,16
27,Random,GO,Lick,ON,Reward,-5,3,8,16
28,Random,NOGO,Lick,OFF,Timeout,-6,3,9,16
29,Random,NOGO,Lick,OFF,Timeout,-7,3,10,16
30,Random,CHECK,Wait,OFF,Null,-7,3,10,17
31,Random,GO,Lick,ON,Reward,-6,4,10,17
32,Random,NOGO,Wait,OFF,Null,-6,4,10,18
33,Random,GO,Lick,ON,Reward,-5,5,10,18
34,Random,NOGO,Wait,OFF,Null,-5,5,10,19
35,Random,NOGO,Lick,OFF,Timeout,-6,5,11,19
36,Random,NOGO,Wait,OFF,Null,-6,5,11,20
37,Random,NOGO,Lick,OFF,Timeout,-7,5,12,20
38,Random,CHECK,Lick,OFF,Null,-7,5,12,21
39,Random,GO,Wait,ON,Null,-7,5,12,22
40,Random,NOGO,Wait,OFF,Null,-7,5,12,23
41,Random,NOGO,Wait,OFF,Null,-7,5,12,24
42,Random,NOGO,Lick,OFF,Timeout,-8,5,13,24
43,Random,NOGO,Wait,OFF,Null,-8,5,13,25
44,Random,GO,Lick,ON,Reward,-7,6,13,25
45,Random,NOGO,Lick,OFF,Timeout,-8,6,14,25
46,Random,NOGO,Lick,OFF,Timeout,-9,6,15,25
47,Random,NOGO,Wait,OFF,Null,-9,6,15,26
48,Random,GO,Lick,ON,Reward,-8,7,15,26
49,Random,NOGO,Wait,OFF,Null,-8,7,15,27
50,Random,NOGO,Lick,OFF,Timeout,-9,7,16,27
1,Always Lick,NOGO,Lick,OFF,Timeout,-1,0,1,0
2,Always Lick,GO,Lick,ON,Reward,0,1,1,0
3,Always Lick,CHECK,Lick,OFF,Null,0,1,1,1
4,Always Lick,GO,Lick,ON,Reward,1,2,1,1
5,Always Lick,GO,Lick,ON,Reward,2,3,1,1
6,Always Lick,NOGO,Lick,OFF,Timeout,1,3,2,1
7,Always Lick,NOGO,Lick,OFF,Timeout,0,3,3,1
8,Always Lick,NOGO,Lick,OFF,Timeout,-1,3,4,1
9,Always Lick,GO,Lick,ON,Reward,0,4,4,1
10,Always Lick,GO,Lick,ON,Reward,1,5,4,1
11,Always Lick,NOGO,Lick,OFF,Timeout,0,5,5,1
12,Always Lick,GO,Lick,ON,Reward,1,6,5,1
13,Always Lick,GO,Lick,ON,Reward,2,7,5,1
14,Always Lick,NOGO,Lick,OFF,Timeout,1,7,6,1
15,Always Lick,NOGO,Lick,OFF,Timeout,0,7,7,1
16,Always Lick,CHECK,Lick,OFF,Null,0,7,7,2
17,Always Lick,NOGO,Lick,OFF,Timeout,-1,7,8,2
18,Always Lick,NOGO,Lick,OFF,Timeout,-2,7,9,2
19,Always Lick,CHECK,Lick,OFF,Null,-2,7,9,3
