trial_number,strategy,tube_state,action,spout_state,feedback,profit,total_reward,total_timeouts,total_null
1,Random,NOGO,Wait,OFF,Null,0,0,0,1
2,Random,NOGO,Wait,OFF,Null,0,0,0,2
3,Random,GO,Lick,ON,Reward,1,1,0,2
4,Random,CHECK,Lick,OFF,Null,1,1,0,3
5,Random,NOGO,Lick,OFF,Timeout,0,1,1,3
6,Random,CHECK,Lick,OFF,Null,0,1,1,4
7,Random,CHECK,Lick,OFF,Null,0,1,1,5
8,Random,NOGO,Lick,OFF,Timeout,-1,1,2,5
9,Random,NOGO,Lick,OFF,Timeout,-2,1,3,5
10,Random,NOGO,Lick,OFF,Timeout,-3,1,4,5
11,Random,GO,Wait,ON,Null,-3,1,4,6
12,Random,CHECK,Lick,OFF,Null,-3,1,4,7
13,Random,GO,Lick,ON,Reward,-2,2,4,7
14,Random,GO,Wait,ON,Null,-2,2,4,8
15,Random,GO,Wait,ON,Null,-2,2,4,9
16,Random,NOGO,Wait,OFF,Null,-2,2,4,10
17,Random,NOGO,Wait,OFF,Null,-2,2,4,11
18,Random,CHECK,Wait,OFF,Null,-2,2,4,12
19,Random,CHECK,Lick,OFF,Null,-2,2,4,13
20,Random,CHECK,Wait,OFF,Null,-2,2,4,14
21,Random,CHECK,Lick,OFF,Null,-2,2,4,15
22,Random,NOGO,Lick,OFF,Timeout,-3,2,5,15
23,Random,NOGO,Lick,OFF,Timeout,-4,2,6,15
24,Random,GO,Wait,ON,Null,-4,2,6,16
25,Random,GO,Lick,ON,Reward,-3,3,6,16
26,Random,CHECK,Lick,OFF,Null,-3,3,6,17
27,Random,GO,Wait,ON,Null,-3,3,6,18
28,Random,NOGO,Lick,OFF,Timeout,-4,3,7,18
29,Random,GO,Lick,ON,Reward,-3,4,7,18
30,Random,NOGO,Wait,OFF,Null,-3,4,7,19
31,Random,NOGO,Lick,OFF,Timeout,-4,4,8,19
32,Random,CHECK,Wait,OFF,Null,-4,4,8,20
33,Random,NOGO,Lick,OFF,Timeout,-5,4,9,20
34,Random,GO,Lick,ON,Reward,-4,5,9,20
35,Random,NOGO,Lick,OFF,Timeout,-5,5,10,20
1,Always Lick,NOGO,Lick,OFF,Timeout,-1,0,1,0
2,Always Lick,CHECK,Lick,OFF,Null,-1,0,1,1
3,Always Lick,NOGO,Lick,OFF,Timeout,-2,0,2,1
4,Always Lick,NOGO,Lick,OFF,Timeout,-3,0,3,1
5,Always Lick,NOGO,Lick,OFF,Timeout,-4,0,4,1
6,Always Lick,NOGO,Lick,OFF,Timeout,-5,0,5,1
7,Always Lick,GO,Lick,ON,Reward,-4,1,5,1
